panelist-id,age,gender,children,marital,Household Size,Social Class,Working Status,Number of TV sets,Digital Status,Cable/Satellite,Multi Channel Status,TV Platform Reception Type
21745,45-64,M,0,single,1 person,E,No paid work,1,Digital Terrestrial Only,None,Digital Multichannel Only,Digital Terrestrial Only
55970,45-64,M,1,married,4 people,C2,30+ hours per week,2,Digital Terrestrial Only,None,Digital Multichannel Only,Digital Terrestrial Only
20123,45-64,F,1,married,4 people,C2,8-29 hours per week,2,Digital Terrestrial Only,None,Digital Multichannel Only,Digital Terrestrial Only
37073,45-64,M,0,single,1 person,E,No paid work,1,Digital Terrestrial Only,None,Digital Multichannel Only,Digital Terrestrial Only
33230,16-24,M,0,single,2 people,AB,30+ hours per week,1,Digital Terrestrial Only,None,Digital Multichannel Only,Digital Terrestrial Only
42164,45-64,M,0,single,2 people,AB,30+ hours per week,1,Digital Terrestrial Only,None,Digital Multichannel Only,Digital Terrestrial Only
73925,45-64,M,0,single,1 person,D,30+ hours per week,2,Digital Terrestrial Only,None,Digital Multichannel Only,Digital Terrestrial Only
35211,45-64,M,0,single,1 person,C2,30+ hours per week,1,Digital Terrestrial Only,None,Digital Multichannel Only,Digital Terrestrial Only
40032,45-64,F,0,single,2 people,E,No paid work,2,Digital Terrestrial Only,None,Digital Multichannel Only,Digital Terrestrial Only
84750,16-24,M,0,single,2 people,E,30+ hours per week,2,Digital Terrestrial Only,None,Digital Multichannel Only,Digital Terrestrial Only
32659,16-24,M,0,married,2 people,C1,8-29 hours per week,1,No Digital TV,None,No Multichannel TV,No TV At All
81612,16-24,F,0,married,2 people,C1,f.t. education / under school,1,No Digital TV,None,No Multichannel TV,No TV At All
74491,45-64,M,0,married,2 people,C2,30+ hours per week,2,Digital Terrestrial Only,None,Digital Multichannel Only,Digital Terrestrial Only
36875,45-64,F,0,married,2 people,C2,No paid work,2,Digital Terrestrial Only,None,Digital Multichannel Only,Digital Terrestrial Only
16914,45-64,M,1,married,4 people,D,30+ hours per week,1,Digital Terrestrial Only,None,Digital Multichannel Only,Digital Terrestrial Only
71885,16-24,F,1,single,4 people,D,No paid work,1,Digital Terrestrial Only,None,Digital Multichannel Only,Digital Terrestrial Only
40174,25-34,M,1,married,3 people,D,30+ hours per week,1,Digital Terrestrial Only,None,Digital Multichannel Only,Digital Terrestrial Only
11810,25-34,F,1,married,3 people,D,8-29 hours per week,1,Digital Terrestrial Only,None,Digital Multichannel Only,Digital Terrestrial Only
60233,45-64,M,0,married,2 people,C2,30+ hours per week,2,Digital Terrestrial Only,None,Digital Multichannel Only,Digital Terrestrial Only
61756,45-64,F,0,married,2 people,C2,30+ hours per week,2,Digital Terrestrial Only,None,Digital Multichannel Only,Digital Terrestrial Only
70173,25-34,M,0,married,2 people,D,No paid work,1,Digital Terrestrial Only,None,Digital Multichannel Only,Digital Terrestrial Only
42045,25-34,M,0,married,2 people,D,30+ hours per week,1,Digital Terrestrial Only,None,Digital Multichannel Only,Digital Terrestrial Only
70901,45-64,M,0,single,2 people,C2,30+ hours per week,1,Digital Terrestrial Only,None,Digital Multichannel Only,Digital Terrestrial Only
66310,16-24,F,0,married,2 people,C1,30+ hours per week,1,Digital Terrestrial Only,None,Digital Multichannel Only,Digital Terrestrial Only
95864,16-24,M,0,married,2 people,C1,30+ hours per week,1,Digital Terrestrial Only,None,Digital Multichannel Only,Digital Terrestrial Only
33068,25-34,F,1,single,3 people,C2,No paid work,2,No Digital TV,None,No Multichannel TV,No TV At All
82121,25-34,M,1,single,3 people,C2,30+ hours per week,2,No Digital TV,None,No Multichannel TV,No TV At All
52357,45-64,F,1,single,2 people,C2,8-29 hours per week,3,Digital Terrestrial & Digital Satellite,Satellite,Digital Multichannel Only,Digital Terrestrial and Digital Satellite Only
83478,45-64,F,1,single,4 people,C2,30+ hours per week,2,Digital Terrestrial & Digital Satellite,Satellite,Digital Multichannel Only,Digital Terrestrial and Digital Satellite Only
94350,45-64,M,1,single,4 people,C2,30+ hours per week,2,Digital Terrestrial & Digital Satellite,Satellite,Digital Multichannel Only,Digital Terrestrial and Digital Satellite Only
66753,35-44,F,0,single,1 person,AB,30+ hours per week,1,Digital Terrestrial Only,None,Digital Multichannel Only,Digital Terrestrial Only
65570,25-34,F,1,single,2 people,D,8-29 hours per week,3,Digital Terrestrial & Digital Satellite,Satellite,Digital Multichannel Only,Digital Terrestrial and Digital Satellite Only
85656,35-44,M,0,married,4 people,C1,30+ hours per week,2,Digital Terrestrial & Digital Cable,Cable,Digital Multichannel Only,Digital Terrestrial and Digital Cable Only
81351,35-44,F,0,married,4 people,C1,30+ hours per week,2,Digital Terrestrial & Digital Cable,Cable,Digital Multichannel Only,Digital Terrestrial and Digital Cable Only
25924,16-24,F,0,single,4 people,C1,30+ hours per week,2,Digital Terrestrial & Digital Cable,Cable,Digital Multichannel Only,Digital Terrestrial and Digital Cable Only
47826,16-24,F,0,single,4 people,C1,30+ hours per week,2,Digital Terrestrial & Digital Cable,Cable,Digital Multichannel Only,Digital Terrestrial and Digital Cable Only
51634,35-44,F,1,married,3 people,C1,8-29 hours per week,1,Digital Satellite Only,Satellite,Digital Multichannel Only,Digital Satellite Only
31919,35-44,M,1,married,3 people,C1,30+ hours per week,1,Digital Satellite Only,Satellite,Digital Multichannel Only,Digital Satellite Only
23689,45-64,M,3+,married,6 people,D,30+ hours per week,2,Digital Terrestrial & Digital Cable,Cable,Digital Multichannel Only,Digital Terrestrial and Digital Cable Only
45027,45-64,F,3+,married,6 people,D,No paid work,2,Digital Terrestrial & Digital Cable,Cable,Digital Multichannel Only,Digital Terrestrial and Digital Cable Only
86088,45-64,F,0,married,2 people,C1,No paid work,2,Digital Terrestrial Only,None,Digital Multichannel Only,Digital Terrestrial Only
41772,45-64,F,0,single,2 people,AB,30+ hours per week,2,Digital Terrestrial & Digital Satellite,Satellite,Digital Multichannel Only,Digital Terrestrial and Digital Satellite Only
66992,16-24,M,0,single,2 people,AB,30+ hours per week,2,Digital Terrestrial & Digital Satellite,Satellite,Digital Multichannel Only,Digital Terrestrial and Digital Satellite Only
47666,45-64,F,0,married,2 people,C2,30+ hours per week,1,Digital Satellite Only,Satellite,Digital Multichannel Only,Digital Satellite Only
13038,45-64,M,0,married,2 people,C2,30+ hours per week,1,Digital Satellite Only,Satellite,Digital Multichannel Only,Digital Satellite Only
61320,16-24,F,1,single,2 people,C1,8-29 hours per week,3,Digital Terrestrial Only,None,Digital Multichannel Only,Digital Terrestrial Only
47210,45-64,F,0,single,1 person,E,No paid work,2,Digital Terrestrial & Digital Cable,Cable,Digital Multichannel Only,Digital Terrestrial and Digital Cable Only
83010,25-34,F,3+,single,4 people,C1,30+ hours per week,2,Digital Terrestrial & Digital Satellite,Satellite,Digital Multichannel Only,Digital Terrestrial and Digital Satellite Only
75446,35-44,M,1,single,3 people,D,30+ hours per week,2,Digital Cable Only,Cable,Digital Multichannel Only,Digital Cable Only
15292,35-44,F,1,married,3 people,D,30+ hours per week,2,Digital Cable Only,Cable,Digital Multichannel Only,Digital Cable Only
52831,45-64,F,0,married,2 people,C1,30+ hours per week,2,Digital Cable Only,Cable,Digital Multichannel Only,Digital Cable Only
64923,45-64,M,0,married,2 people,C1,30+ hours per week,2,Digital Cable Only,Cable,Digital Multichannel Only,Digital Cable Only
80572,45-64,F,0,single,2 people,D,30+ hours per week,2,Digital Terrestrial Only,None,Digital Multichannel Only,Digital Terrestrial Only
84294,45-64,F,0,single,2 people,D,No paid work,2,Digital Terrestrial Only,None,Digital Multichannel Only,Digital Terrestrial Only
47405,45-64,M,1,married,4 people,D,30+ hours per week,4,Digital Cable Only,Cable,Digital Multichannel Only,Digital Cable Only
72195,45-64,F,1,married,4 people,D,8-29 hours per week,4,Digital Cable Only,Cable,Digital Multichannel Only,Digital Cable Only
82560,16-24,M,1,single,4 people,D,f.t. education / under school,4,Digital Cable Only,Cable,Digital Multichannel Only,Digital Cable Only
46440,16-24,F,0,single,2 people,C2,8-29 hours per week,2,Digital Satellite Only,Satellite,Digital Multichannel Only,Digital Satellite Only
20536,45-64,F,0,single,2 people,C2,30+ hours per week,2,Digital Satellite Only,Satellite,Digital Multichannel Only,Digital Satellite Only
